id,trainer_id,trainee_id,training_name,training_type,training_date_time,training_duration_in_hours
1,6,1,Java Basics,1,2024-02-22T10:00:00,20
2,7,2,Spring Boot Advanced,2,2024-02-23T14:30:00,31
3,8,3,Data Structures,1,2024-02-24T09:00:00,12
4,9,4,Machine Learning,2,2024-02-25T16:45:00,42
5,10,5,DevOps Fundamentals,3,2024-02-26T11:15:00,23
6,6,1,Frontend Development,4,2024-02-27T13:00:00,34
7,7,2,Database Design,5,2024-02-28T15:30:00,23
8,8,3,Cybersecurity Basics,1,2024-02-29T18:00:00,32
9,9,4,Microservices Architecture,2,2024-03-01T08:30:00,44
10,10,5,Cloud Computing,3,2024-03-02T12:45:00,25
